passer_player_id,passer_player_name,week,passing_yards,passing_tds,interceptions,pass_attempts,rusher_player_id,rushing_yards,rushing_tds,fumbles_lost,fantasy_points,recent_team,opponent_team,def_qb_fp_allowed_roll5,qb_fp_roll5,league_qb_fp_allowed,proj_baseline,proj_adj,def_delta,proj_shrunk_02
00-0039150,B.Young,7,138.0,1.0,0.0,26.0,00-0039150,10.0,0.0,0.0,10.52,CAR,NYJ,16.2879997253418,15.547999954223632,15.190001,15.547999954223632,16.645999145507815,1.097999191284181,15.76759979248047
00-0039150,B.Young,9,102.0,0.0,1.0,21.0,00-0039150,9.0,0.0,0.0,2.98,CAR,GB,17.984000301361085,12.988000106811523,17.785,12.988000106811523,13.187000560760499,0.19900045394897603,13.027800197601318
00-0039150,B.Young,10,124.0,0.0,1.0,27.0,00-0039150,6.0,0.0,1.0,1.56,CAR,NO,16.083999633789062,11.25600004196167,14.004286,11.25600004196167,13.335713863372803,2.079713821411133,11.671942806243896
00-0039150,B.Young,11,448.0,3.0,0.0,52.0,00-0039150,-1.0,0.0,0.0,29.82,CAR,ATL,13.708000087738037,9.507999992370605,13.483999,9.507999992370605,9.732000827789307,0.22400083541870153,9.552800159454346
00-0039150,B.Young,12,169.0,1.0,2.0,31.0,00-0039150,15.0,0.0,0.0,8.26,CAR,SF,22.396000480651857,12.667999839782714,13.55,12.667999839782714,21.51400012969971,8.846000289916994,14.437199897766114
00-0039150,B.Young,13,206.0,3.0,0.0,22.0,00-0039150,23.0,0.0,0.0,22.539999,CAR,LA,10.877999687194825,10.628000068664551,14.141562,10.628000068664551,7.364437294006349,-3.2635627746582028,9.97528751373291
00-0039150,B.Young,15,163.0,1.0,0.0,25.0,00-0039150,49.0,0.0,0.0,15.42,CAR,NO,11.724000072479248,13.031999778747558,16.586876,13.031999778747558,8.169123935699462,-4.862875843048096,12.059424610137938
00-0039150,B.Young,16,191.0,2.0,0.0,34.0,00-0039150,20.0,0.0,0.0,17.64,CAR,TB,26.684000396728514,15.519999790191651,13.793646,15.519999790191651,28.410354328155517,12.890354537963866,18.098070697784426
00-0039163,C.Stroud,1,188.0,0.0,1.0,30.0,00-0039163,32.0,0.0,0.0,8.72,HOU,LA,14.909999132156372,19.009999752044678,17.265,19.009999752044678,16.654999494552612,-2.3550002574920654,18.538999700546263
00-0039163,C.Stroud,2,207.0,1.0,0.0,28.0,00-0039163,27.0,0.0,0.0,14.98,HOU,TB,13.140000224113464,13.734999895095825,16.66625,13.734999895095825,10.208749890327454,-3.5262500047683716,13.029749894142151
